method_name,category,description,when_to_use,seeks_refutation,source_name,source_url
"Systematic Literature Review","Evidence Synthesis","A structured review using pre-defined eligibility criteria to identify, appraise, and synthesize all relevant studies on a specific question, following PRISMA reporting guidelines.","When you need a comprehensive, reproducible summary of all existing evidence on a focused research question; standard for medical and policy decision-making.","Yes — explicit inclusion/exclusion criteria and critical appraisal seek to minimize bias and identify weak studies.","PRISMA 2020 Statement (Page et al., 2021, BMJ)","https://www.prisma-statement.org/prisma-2020"
"Scoping Review","Evidence Synthesis","A systematic mapping of the breadth and key concepts of a research area, typically following the Arksey & O'Malley (2005) framework or JBI methodology. Addresses exploratory questions rather than testing hypotheses.","When the research area is complex, heterogeneous, or emerging, and you need to clarify concepts, identify knowledge gaps, or determine whether a full systematic review is warranted.","Partially — seeks to identify gaps and map coverage rather than formally test or refute a hypothesis.","Arksey & O'Malley (2005) framework; PRISMA-ScR extension for scoping reviews","https://journals.sagepub.com/doi/10.1177/1049732305271668"
"Rapid Review","Evidence Synthesis","A form of knowledge synthesis in which components of the systematic review process are simplified or omitted to produce information in a timely manner (Khangura et al., 2012).","When time-sensitive evidence is needed for policy or clinical decisions and a full systematic review is not feasible due to resource or time constraints.","Yes — still applies critical appraisal but with acknowledged limitations in search breadth and depth.","Khangura et al. (2012) Evidence summaries: the evolution of a rapid review approach — Systematic Reviews journal","https://systematicreviewlibrarian.com/what-is-a-rapid-review"
"Case Study","Qualitative/Empirical","An empirical inquiry that investigates a contemporary phenomenon within its real-life context, especially when boundaries between phenomenon and context are not clearly evident (Yin, 2018).","When you want an in-depth understanding of a complex phenomenon in its real-world setting; useful for answering 'how' and 'why' questions.","No — primarily seeks to build or refine theory through detailed description and explanation, not falsification.","Robert K. Yin (2018) Case Study Research and Applications: Design and Methods (6th ed.)","https://books.google.com/books/about/Case_Study_Research.html?id=BWea_9ZGQMwC"
"Grounded Theory","Qualitative","An inductive theory-building method where theory is generated systematically from data collected and analyzed through constant comparison and theoretical sampling (Glaser & Strauss, 1967).","When no existing theory adequately explains a phenomenon and you want to build a new theory grounded in empirical data collected from the field.","No — seeks to construct theory from data rather than test or refute a pre-existing hypothesis; emphasizes emergent theory.","Barney G. Glaser & Anselm L. Strauss (1967) The Discovery of Grounded Theory: Strategies for Qualitative Research","https://en.wikipedia.org/wiki/The_Discovery_of_Grounded_Theory"
"Ethnography","Qualitative","A qualitative method rooted in anthropology involving prolonged immersion in a community or setting to understand cultural patterns, meanings, and practices from an emic (insider) perspective via participant observation.","When you need a deep, contextual understanding of a culture, community, or social practice that cannot be captured by surveys or experiments.","No — primarily descriptive and interpretive; does not seek to refute hypotheses but to illuminate meaning.","Yale University HRAF — Introduction to Fieldwork and Ethnography by Francine Barone","https://hraf.yale.edu/teach-ehraf/an-introduction-to-fieldwork-and-ethnography"
"Survey/Questionnaire","Quantitative/Empirical","A structured method of data collection using standardized questionnaires administered to a sample of a population, designed following principles such as Dillman's Total Design Method (1978) to maximize response rates and data quality.","When you need to describe characteristics, attitudes, or behaviors of a large population quickly and cost-effectively; useful for estimating prevalence and correlations.","Partially — can be used to test hypotheses, but emphasis is on measurement and description; refutation depends on study design.","Don A. Dillman (1978) The Total Design Method for mail and telephone surveys","https://pmc.ncbi.nlm.nih.gov/articles/PMC2328022"
"A/B Testing","Quantitative/Experimental","A randomized controlled experiment comparing two or more variants (A and B) to determine which produces a better outcome, widely used in digital products, marketing, and clinical trials.","When you can randomly assign users or subjects to treatment groups and need a causal estimate of an intervention's effect on a specific metric.","Yes — explicit null hypothesis significance testing (NHST) with p-values and confidence intervals seeks to reject or fail to reject the null hypothesis.","Alex Deng — Statistical Analysis of A/B Tests (Causal Inference and Its Applications in Online Industry)","https://alexdeng.github.io/causal/abstats.html"
"Quasi-experimental","Quantitative/Experimental","A research design that estimates causal impact of an intervention without random assignment, using techniques like regression discontinuity, interrupted time series, and nonequivalent control groups (Shadish, Cook & Campbell, 2002).","When random assignment is infeasible or unethical but you still need to estimate a causal effect; common in education, public health, and social policy.","Yes — explicitly addresses threats to causal inference (internal validity) and seeks to rule out alternative explanations.","Shadish, Cook & Campbell (2002) Experimental and Quasi-Experimental Designs for Generalized Causal Inference","https://books.google.com/books/about/Experimental_and_Quasi_experimental_Desi.html?id=o7jaAAAAMAAJ"
"Comparative Analysis","Analytical","A structured approach that evaluates two or more methods, theories, or cases against shared criteria to identify similarities, differences, and contextual fit (Sartori, 1994).","When you need to justify a choice among alternatives, explain trade-offs, or demonstrate why one approach performs differently under specific conditions.","Yes — comparison against shared criteria can reveal weaknesses and disconfirm claims about superiority.","Comparative Research Methods (Esser, in Wiley Encyclopedia of Research Methods)","https://onlinelibrary.wiley.com/doi/10.1002/9781118901731.iecrm0035"
